,Serial,2,3,4,6,8,12
126000,"32,19212986666670","7,91022725646667","3,45007336306667","1,93406509280000","0,94633107040000","0,74521475566667","0,33286237560000"
131400,"35,06690246666670","8,56259646473333","3,76390002993333","2,11202265453333","1,03779054773333","0,81485779393333","0,36259801066667"
136800,"38,09468106666670","9,28763073006667","4,08167988733333","2,27968548120000","1,08725755453333","0,88320136706667","0,39391859273333"
142200,"41,23307666666670","10,04923710840000","4,42353770746667","2,45859793720000","1,17547962540000","0,95347789493333","0,42774287720000"
147600,"44,44232633333330","10,83622470386670","4,77767054300000","2,66238632840000","1,26232291853333","1,02874636926667","0,45824437886667"
153000,"47,75089946666670","11,68167403940000","5,14708849840000","2,86571344400000","1,37982954553333","1,10554691180000","0,49185167173333"
158400,"51,27441446666670","12,51300882080000","5,52212025973333","3,08485666133333","1,47784285506667","1,18693706006667","0,52789919306667"
163800,"54,85971433333330","13,40477065473330","5,91316561273333","3,28042421093333","1,52827916220000","1,26786943986667","0,56394977926667"
169200,"58,59792220000000","14,35006972440000","6,32874500053333","3,62236289760000","1,64871826946667","1,35254654886667","0,60417204926667"
174600,"62,47755853333330","15,29787125300000","6,74910715906667","3,74583254413333","1,81097204693333","1,44910222760000","0,64311151786667"
180000,"66,43620606666670","16,28605244840000","7,53659668946667","3,98961939186667","1,87986924613333","1,56512931606667","0,68278332646667"
