,Serial,2,3,4,6,8,12
126000,"32,145601266666700","29,339135241400000","33,436769565266700","24,944369368800000","18,336020888600000","19,735644236733300","14,123602155200000"
131400,"35,323637000000000","32,003678587733300","36,383633342466700","27,140448905600000","18,854063641600000","21,225037936866700","15,421525180533300"
136800,"38,345993866666700","34,734263969266700","39,629795632000000","29,415776717000000","20,412612819333300","23,438210138733300","16,572179821333300"
142200,"41,303932000000000","37,507419788133300","42,634891254333300","31,759841292533300","22,774219261600000","24,786323796600000","18,004407744733300"
147600,"44,597730400000000","40,419020447000000","46,044518862600000","34,254820610800000","24,121117894266700","27,192746082800000","19,317254119200000"
153000,"47,920307800000000","43,436389010000000","49,373907411666700","36,771963644666700","25,544384710400000","28,931593959933300","20,697960452533300"
158400,"51,377553333333300","46,615256896266700","52,949652034333300","39,433942341533300","27,372580609466700","31,104037427866700","22,239633020200000"
163800,"55,058687800000000","49,841749558733300","56,631651222400000","42,201987650400000","29,348392532266700","32,334782521666700","23,889322978733300"
169200,"59,116863800000000","53,261692668800000","60,541039587066700","45,030572952666700","31,931275039866700","35,325053907133300","25,509749095400000"
174600,"63,402156333333400","56,748059269200000","64,361790485533300","47,933760420866700","33,541474453000000","36,901147504733300","27,021962915333300"
180000,"67,981464200000000","60,285311136000000","68,419715631266700","50,980774153066700","35,538272792000000","39,288234151066700","28,862331525133300"
