Tempos,Serial,2,3,4,6,8,12,Speedup 2,Speedup 3,Speedup 4,Speedup 6,Speedup 8,Speedup 12,Eficiencia 2,Eficiencia 3,Eficiencia 4,Eficiencia 6,Eficiencia 8,Eficiencia 12
1600000000,"30,98110","26,51905","17,69005","13,27930","9,15818","7,57518","5,10946","1,16826","1,75133","2,33304","3,38289","4,08982","6,06348","0,58413","0,58378","0,58326","0,56381","0,51123","0,50529"
1800000000,"35,18845","29,83371","19,92306","14,93768","10,28430","8,52674","5,75264","1,17949","1,76622","2,35568","3,42157","4,12683","6,11692","0,58974","0,58874","0,58892","0,57026","0,51585","0,50974"
2000000000,"39,06540","33,14777","22,10799","16,58795","11,43713","9,47186","6,41377","1,17852","1,76703","2,35505","3,41566","4,12437","6,09086","0,58926","0,58901","0,58876","0,56928","0,51555","0,50757"
2200000000,"42,78120","36,46315","24,31701","18,25003","12,57679","10,40662","7,07303","1,17327","1,75931","2,34417","3,40160","4,11096","6,04849","0,58664","0,58644","0,58604","0,56693","0,51387","0,50404"
2400000000,"46,76031","39,77943","26,52734","19,92377","13,71261","11,35025","7,68161","1,17549","1,76272","2,34696","3,41002","4,11976","6,08730","0,58774","0,58757","0,58674","0,56834","0,51497","0,50728"
2600000000,"50,51987","43,11232","28,73470","21,57399","14,84818","12,30051","8,29850","1,17182","1,75815","2,34170","3,40243","4,10714","6,08783","0,58591","0,58605","0,58543","0,56707","0,51339","0,50732"
2800000000,"53,98400","46,40409","30,94669","23,21487","15,97642","13,18682","8,94055","1,16335","1,74442","2,32541","3,37898","4,09378","6,03811","0,58167","0,58147","0,58135","0,56316","0,51172","0,50318"
3000000000,"57,66845","49,72038","33,15408","24,87037","17,12978","14,18673","9,59626","1,15986","1,73941","2,31876","3,36656","4,06496","6,00947","0,57993","0,57980","0,57969","0,56109","0,50812","0,50079"
3200000000,"61,55654","53,03400","35,38159","26,53354","18,29212","15,11031","10,22528","1,16070","1,73979","2,31995","3,36519","4,07381","6,02003","0,58035","0,57993","0,57999","0,56087","0,50923","0,50167"
